5 Minutes	Flow (Veh/5 Minutes)	# Lane Points	% Observed
05/28/2017 00:00	156.0	4	50.0
05/28/2017 00:05	237.0	4	50.0
05/28/2017 00:10	233.0	4	50.0
05/28/2017 00:15	183.0	4	50.0
05/28/2017 00:20	171.0	4	50.0
05/28/2017 00:25	179.0	4	50.0
05/28/2017 00:30	166.0	4	50.0
05/28/2017 00:35	176.0	4	50.0
05/28/2017 00:40	167.0	4	50.0
05/28/2017 00:45	163.0	4	50.0
05/28/2017 00:50	180.0	4	50.0
05/28/2017 00:55	128.0	4	50.0
05/28/2017 01:00	125.0	4	50.0
05/28/2017 01:05	158.0	4	50.0
05/28/2017 01:10	139.0	4	50.0
05/28/2017 01:15	136.0	4	50.0
05/28/2017 01:20	150.0	4	50.0
05/28/2017 01:25	123.0	4	50.0
05/28/2017 01:30	160.0	4	50.0
05/28/2017 01:35	158.0	4	50.0
05/28/2017 01:40	143.0	4	50.0
05/28/2017 01:45	116.0	4	50.0
05/28/2017 01:50	112.0	4	50.0
05/28/2017 01:55	142.0	4	50.0
05/28/2017 02:00	116.0	4	50.0
05/28/2017 02:05	124.0	4	50.0
05/28/2017 02:10	107.0	4	50.0
05/28/2017 02:15	129.0	4	50.0
05/28/2017 02:20	135.0	4	50.0
05/28/2017 02:25	131.0	4	50.0
05/28/2017 02:30	119.0	4	50.0
05/28/2017 02:35	106.0	4	50.0
05/28/2017 02:40	112.0	4	50.0
05/28/2017 02:45	114.0	4	50.0
05/28/2017 02:50	118.0	4	50.0
05/28/2017 02:55	91.0	4	50.0
05/28/2017 03:00	105.0	4	50.0
05/28/2017 03:05	92.0	4	50.0
05/28/2017 03:10	114.0	4	50.0
05/28/2017 03:15	92.0	4	50.0
05/28/2017 03:20	67.0	4	50.0
05/28/2017 03:25	82.0	4	50.0
05/28/2017 03:30	79.0	4	50.0
05/28/2017 03:35	79.0	4	50.0
05/28/2017 03:40	100.0	4	50.0
05/28/2017 03:45	88.0	4	50.0
05/28/2017 03:50	91.0	4	50.0
05/28/2017 03:55	50.0	4	50.0
05/28/2017 04:00	89.0	4	50.0
05/28/2017 04:05	62.0	4	50.0
05/28/2017 04:10	93.0	4	50.0
05/28/2017 04:15	103.0	4	50.0
05/28/2017 04:20	91.0	4	50.0
05/28/2017 04:25	76.0	4	50.0
05/28/2017 04:30	103.0	4	50.0
05/28/2017 04:35	117.0	4	50.0
05/28/2017 04:40	137.0	4	50.0
05/28/2017 04:45	114.0	4	50.0
05/28/2017 04:50	99.0	4	50.0
05/28/2017 04:55	104.0	4	50.0
05/28/2017 05:00	104.0	4	50.0
05/28/2017 05:05	113.0	4	50.0
05/28/2017 05:10	91.0	4	50.0
05/28/2017 05:15	89.0	4	50.0
05/28/2017 05:20	123.0	4	50.0
05/28/2017 05:25	93.0	4	50.0
05/28/2017 05:30	120.0	4	50.0
05/28/2017 05:35	110.0	4	50.0
05/28/2017 05:40	124.0	4	50.0
05/28/2017 05:45	105.0	4	50.0
05/28/2017 05:50	158.0	4	50.0
05/28/2017 05:55	142.0	4	50.0
05/28/2017 06:00	112.0	4	50.0
05/28/2017 06:05	144.0	4	50.0
05/28/2017 06:10	142.0	4	50.0
05/28/2017 06:15	170.0	4	50.0
05/28/2017 06:20	176.0	4	50.0
05/28/2017 06:25	188.0	4	50.0
05/28/2017 06:30	186.0	4	50.0
05/28/2017 06:35	180.0	4	50.0
05/28/2017 06:40	190.0	4	50.0
05/28/2017 06:45	190.0	4	50.0
05/28/2017 06:50	179.0	4	50.0
05/28/2017 06:55	184.0	4	50.0
05/28/2017 07:00	164.0	4	50.0
05/28/2017 07:05	170.0	4	50.0
05/28/2017 07:10	210.0	4	50.0
05/28/2017 07:15	187.0	4	50.0
05/28/2017 07:20	200.0	4	50.0
05/28/2017 07:25	195.0	4	50.0
05/28/2017 07:30	217.0	4	50.0
05/28/2017 07:35	216.0	4	50.0
05/28/2017 07:40	175.0	4	50.0
05/28/2017 07:45	248.0	4	50.0
05/28/2017 07:50	189.0	4	50.0
05/28/2017 07:55	216.0	4	50.0
05/28/2017 08:00	202.0	4	50.0
05/28/2017 08:05	225.0	4	50.0
05/28/2017 08:10	225.0	4	50.0
05/28/2017 08:15	238.0	4	50.0
05/28/2017 08:20	235.0	4	50.0
05/28/2017 08:25	266.0	4	50.0
05/28/2017 08:30	241.0	4	50.0
05/28/2017 08:35	219.0	4	50.0
05/28/2017 08:40	270.0	4	50.0
05/28/2017 08:45	263.0	4	50.0
05/28/2017 08:50	269.0	4	50.0
05/28/2017 08:55	213.0	4	50.0
05/28/2017 09:00	253.0	4	50.0
05/28/2017 09:05	274.0	4	50.0
05/28/2017 09:10	260.0	4	50.0
05/28/2017 09:15	301.0	4	50.0
05/28/2017 09:20	263.0	4	50.0
05/28/2017 09:25	326.0	4	50.0
05/28/2017 09:30	349.0	4	50.0
